,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
41,Wed,"Mar 24, 2010",FAC6R,Fulham ,(h),0-1,3,1,W,"Bentley 47, Pavlyuchenko 60, Gudjohnsen 66 (Zamora 17)",Martin Atkinson,"35,432",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Roy Hodgson
42,Sat,"Mar 27, 2010",Prem,Portsmouth  ,(h),2-0,2,0,W,"Crouch 27, Kranjcar 41",Kevin Friend,"35,870",White Hart Lane,4,20,0,0,0,0,Dawson (Huddlestone),Avram Grant
43,Sat,"Apr 3, 2010",Prem,Sunderland ,(a),0-2,1,3,L,"Crouch 72 (Bent 1, 29p, Zenden 86)",Lee Mason,"43,184",Stadium of Light,5,13,0,0,2s1,0,Modric,Steve Bruce
44,Sun,"Apr 11, 2010",FACSF,Portsmouth a.e.t. ,(n),0-0,0,2,L,"(Piquionne 99, Boateng 117p)",Alan Wiley,"84,602",Wembley Stadium,n/a,n/a,0,0,1,0,Dawson,Avram Grant
45,Wed,"Apr 14, 2010",Prem,Arsenal ,(h),1-0,2,1,W,"Rose 10, Bale 47 (Bendtner 85)",Mark Clattenburg,"36,041",White Hart Lane,5,3,0,0,0,0,King,Arsene Wenger
46,Sat," Apr 17, 2010 ",Prem,Chelsea  ,(h),2-0,2,1,W,"Defoe 15p, Bale 44 (Lampard 90)",Phil Dowd,"35,814",White Hart Lane,4,1,1,0,0,1,Dawson,Carlo Ancelotti
47,Sat ,"Apr 24, 2010",Prem,Manchester United,(a),0-0,1,3,L,"King 70 (Giggs 58p, 86p, Nani 81)",Andre Marriner,"75,268",Old Trafford,4,2,0,0,2,0,King,Alex Ferguson
48,Sat ,"May 1, 2010",Prem,Bolton Wanderers ,(h),1-0,1,0,W,Huddlestone 38,Chris Foy,"35,852",White Hart Lane,4,14,0,0,0,0,King,Owen Coyle
49,Wed,"May 5, 2010",Prem,Manchester City ,(a),0-0,1,0,W,Crouch 82,Steve Bennett,"47,370",City of Manchester Stadium,4,5,0,0,0,0,King,Roberto Mancini
50,Sun ,"May 9, 2010",Prem,Burnley ,(a),2-1,2,4,L,"Bale 3, Modric 32 (Elliott 42, Cork 54, Paterson 71, Thompson 88)",Mike Dean,"21,161",Turf Moor,4,18,0,0,0,0,King,Brian Laws
,x,2010-11,x,x,x,,,,,,x,,x,,,,,,,x,x
1,Sat,"Aug 14, 2010",Prem,Manchester City ,(h),0-0,0,0,D,,Andre Marriner,"35,928",White Hart Lane,n/a,n/a,0,0,0,0,King,Roberto Mancini
2,Tue,"Aug 17, 2010",CL4QR.1,BSC Young Boys,(a),1-3,2,3,L,"Bassong 42, Pavlyuchenko 83 (Lulic 4, Bienvenu 13, Hochstrasser 28)",Frank de Bleeckere,"31,275",Stade de Suisse,n/a,n/a,0,0,0,0,Dawson,Vladimir Petkovi_
3,Sat,"Aug 21, 2010",Prem,Stoke City,(a),2-1,2,1,W,"Bale 19, 30 (Fuller 25)",Chris Foy,"27,243",Britannia Stadium,n/a,n/a,0,0,0,0,Dawson,Tony Pulis
4,Wed,"Aug 25, 2010",CL4QR.2,Young Boys of Bern,(h),2-0,4,0,W,"Crouch 5, 61, 78p, Defoe 32",Laurent Duhamel,"34,709",White Hart Lane,n/a,n/a,1,0,0,1,King,Vladimir Petkovi_
5,Sat,"Aug 28, 2010",Prem,Wigan Athletic,(h),0-0,0,1,L,(Rodallega 80),Phil Dowd,"35,101",White Hart Lane,11,17,0,0,0,0,King,Roberto Martinez
6,Sat,"Sep 11, 2010",Prem,West Bromwich Albion,(a),1-1,1,1,D,Modric 27 (Brunt 41),Howard Webb,"23,642",The Hawthorns,11,16,0,0,0,0,Huddlestone,Roberto di Matteo
7,Tue,"Sep 14, 2010",CLGp,Werder Bremen,(a),2-1,2,2,D,"Pasanen 12 og, Crouch 18 (Almeida 43, Marin 47)",Massimo Busacca,"40,000",Weserstadion,n/a,n/a,0,0,0,0,King,Thomas Schaaf
8,Sat,"Sep 18, 2010",Prem,Wolverhampton Wand,(h),0-1,3,1,W,"Van der Vaart 77p, Pavlyuchenko 87, Hutton 90 (Fletcher 45)",Mike Jones,"35,940",White Hart Lane,5,15,1,0,0,0,King,Mick McCarthy
9,Tue,"Sep 21, 2010",LC3,Arsenal a.e.t.,(h),0-1,1,4,L,"Keane 49 (Lansbury 15, Nasri 92p ,96p, Arshavin 105)",Lee Probert,"35,883",White Hart Lane,n/a,n/a,0,0,2,0,Bassong,Arsene Wenger
10,Sat,"Sep 25, 2010",Prem,West Ham United,(a),0-1,0,1,L,Piquionne 29,Martin Atkinson,"34,190",Upton Park,8,19,0,0,0,0,Huddlestone,Avram Grant
11,Wed,"Sep 29, 2010",CLGp,FC Twente,(h),0-0,4,1,W,"Van der Vaart 47, Pavlyuchenko 50p ,64p, Bale 85 (Chadli 56)",Terje Hauge,"32,518",White Hart Lane,n/a,n/a,1s2,1,0,0,King,Michel Preud'homme
12,Sat ,"Oct 2, 2010",Prem,Aston Villa,(h),1-1,2,1,W,"Van der Vaart 45+2, 75 (Albrighton 16)",Mark Clattenburg,"35,871",White Hart Lane,5,8,0,0,0,0,Huddlestone,Gerard Houllier
13,Sat,"Oct 16, 2010",Prem,Fulham,(a),1-1,2,1,W,"Pavlyuchenko 31, Huddlestone 63 (Kamara 30)",Mike Dean,"25,615",Craven Cottage,5,12,0,0,0,0,King (Huddlestone),Mark Hughes
14,Wed,"Oct 20, 2010",CLGp,Inter Milan,(a),0-4,3,4,L,"Bale 52, 90, 90+1 (Zanetti 2, Eto’o 11p, 35, Stankovic 14)",Damir Skomina,"70,520",Stadio Giuseppe Meazza,n/a,n/a,0,1,1,0,Huddlestone (Keane),Rafael Benitez
15,Sat,"Oct 23, 2010",Prem,Everton,(h),1-1,1,1,D,Van der Vaart 20 (Baines 17),Mike Jones,"35,967",White Hart Lane,5,11,0,0,0,0,Modric,David Moyes
16,Sat,"Oct 30, 2010",Prem,Manchester United,(a),0-1,0,2,L,"(Vidic 31, Nani 84)",Mark Clattenburg,"75,223",Old Trafford,5,3,0,0,0,0,Keane (Modric),Alex Ferguson
17,Tue,"Nov 2, 2010",CLGp,Inter Milan,(h),1-0,3,1,W,"Van der Vaart 18, Crouch 61, Pavlyuchenko 89 (Eto'o 80)",Viktor Kassai,"34,103",White Hart Lane,n/a,n/a,0,0,0,0,Huddlestone,Rafael Benitez
18,Sat,"Nov 6, 2010",Prem,Bolton Wanderers,(a),0-1,2,4,L,"Hutton 79, Pavlyuchenko 87 (Davies 31, 76p, Steinsson 56, Petrov 90+4)",Chris Foy,"20,255",Reebok Stadium,7,6,0,0,1,0,Modric,Owen Coyle
19,Tue,"Nov 9, 2010",Prem,Sunderland,(h),0-0,1,1,D,Van der Vaart 64 (Gyan 67),Howard Webb,"35,843",White Hart Lane,7,8,0,0,0,0,Huddlestone,Steve Bruce
20,Sat,"Nov 13, 2010",Prem,Blackburn Rovers ,(h),2-0,4,2,W,"Bale 16, 75, Pavlyuchenko 42, Crouch 69 (Nelsen 80, Givet 90)",Andre Marriner,"35,700",White Hart Lane,7,14,m,0,0,0,Modric,Sam Allardyce
21,Sat,"Nov 20, 2010",Prem,Arsenal  ,(a),0-2,3,2,W,"Bale 50, Van der Vaart 67p, Kaboul 85 (Nasri 9, Chamakh 27)",Phil Dowd,"60,102",Emirates Stadium,6,3,1,0,0,0,Gallas,Arsene Wenger
22,Wed,"Nov 24, 2010",CLGp,Werder Bremen,(h),2-0,3,0,W,"Kaboul 6, Modric 45(+1), Crouch 79",Olegário Benquerença,"33,546",White Hart Lane,n/a,n/a,s,0,0,0,Gallas,Thomas Schaaf
23,Sun ,"Nov 28, 2010",Prem,Liverpool ,(h),0-1,2,1,W,"Skrtel 65 og, Lennon, 90(+2) (Skrtel 42)",Martin Atkinson,"35,962",White Hart Lane,5,10,m,0,0,0,Gallas,Roy Hodgson
24,Sat  ,"Dec 4, 2010",Prem,Birmingham City ,(a),1-0,1,1,D,Bassong 19 (Gardner 81),Kevin Friend,"25,770",St Andrews,5,14,0,0,0,0,Gallas,Alex McLeish
25,Tue ,"Dec 7, 2010",CLGp,FC Twente,(a),1-1,3,3,D,"Wisgerhof 12 og, Defoe 47, 60 (Landzaat 22p, Rosales 56, Chadli 64)",Carlos Velasco Carballo,"24,000",Grolsch Veste Stadium,n/a,n/a,0,0,1,0,Gallas,Michel Preud'homme
26,Sun,"Dec 12, 2010",Prem,Chelsea  ,(h),1-0,1,1,D,Pavlyuchenko 15 (Drogba 70),Mike Dean,"35,787",White Hart Lane,5,4,0,0,s,0,Dawson,Carlo Ancelotti
27,Sun  ,"Dec 26, 2010",Prem,Aston Villa,(a),1-0,2,1,W,"Van der Vaart 23, 67 (Albrighton 82)",Martin Atkinson,"39,411",Villa Park,5,15,0,1,0,0,Dawson,Gerard Houllier
28,Tue ,"Dec 28, 2010",Prem,Newcastle United,(h),0-0,2,0,W,"Lennon 57, Bale 81",Anthony Taylor,"35,927",White Hart Lane,9,13,0,1,0,0,Dawson,Alan Pardew
29,Sat  ,"Jan 1, 2011",Prem,Fulham,(h),1-0,1,0,W,Bale 42,Mike Jones,"35,603",White Hart Lane,4,18,0,0,0,0,Dawson,Mark Hughes
30,Wed  ,"Jan 5, 2011",Prem,Everton,(a),1-1,1,2,L,"Van der Vaart 11 (Saha 3, Coleman 75)",Lee Probert,"34,124",Goodison Park,4,11,0,0,0,0,Dawson,David Moyes
31,Sun,"Jan 9, 2011",FAC3,Charlton Athletic,(h),0-0,3,0,W,"Townsend 49, Defoe 58, 60",Michael Oliver,"35,698",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Keith Peacock
32,Sun  ,"Jan 16, 2011",Prem,Manchester United,(h),0-0,0,0,D,,Mike Dean,"35,828",White Hart Lane,5,1,0,0,0,1,Dawson,Alex Ferguson
33,Sat  ,"Jan 22, 2011",Prem,Newcastle United,(a),0-0,1,1,D,Lennon 90+1 (Coloccini 59),Mark Halsey,"51,010",St James' Park,5,8,0,0,0,0,Dawson,Alan Pardew
34,Sun,"Jan 30, 2011",FAC4,Fulham,(a),0-4,0,4,L,"(Murphy 11p, 14p, Hangeland 23, Dembele 45+3)",Phil Dowd,"21,829",Craven Cottage,n/a,n/a,0,1,2,0,"Dawson (Modric, Gallas)",Mark Hughes
35,Wed  ,"Feb 2, 2011",Prem,Blackburn Rovers,(a),1-0,1,0,W,Crouch 3,Andre Marriner,"23,253",Ewood Park,5,9,0,0,0,0,Gallas,Steve Kean
36,Sat  ,"Feb 5, 2011",Prem,Bolton Wanderers,(h),1-0,2,1,W,"Van der Vaart 6p, Kranjcar 90+2(Sturridge 55)",Mark Clattenburg,"36,197",White Hart Lane,5,8,1s1,0,0,0,Dawson,Owen Coyle
37,Sat  ,"Feb 12, 2011",Prem,Sunderland,(a),1-1,2,1,W,"Dawson 44, Kranjcar 57 (Gyan 11)",Mike Jones,"40,986",Stadium of Light,4,7,0,0,0,0,Dawson,Steve Bruce
38,Tue,"Feb 15, 2011",CLKOR.1,AC Milan ,(a),0-0,1,0,W,Crouch 80,Stéphane Lannoy,"80,000",Stadio Giuseppe Meazza,n/a,n/a,0,0,0,0,Dawson,Massimiliano Allegri
39,Tue,"Feb 22, 2011",Prem,Blackpool,(a),0-2,1,3,L,"Pavlyuchenko 90+3 (Adam 18p, Campbell 44, Ormerod 80)",Chris Foy,"16,069",Bloomfield Road,4,12,0,0,1,0,Dawson,Ian Holloway
40,Sun  ,"Mar 6, 2011",Prem,Wolverhampton Wand,(a),2-2,3,3,D,"Defoe 30, 35, Pavlyuchenko 48 (Doyle 20, 40p, Fletcher 87)",Mark Halsey,"28,669",Molineux,5,19,0,0,1,0,Dawson,Mick McCarthy
41,Wed,"Mar 9, 2010",CLKOR.1,AC Milan ,(h),0-0,0,0,D,,Frank de Bleeckere,"34,320",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Massimiliano Allegri
42,Sat ,"Mar 19, 2011",Prem,West Ham United,(h),0-0,0,0,D,,Mike Dean,"36,010",White Hart Lane,5,17,0,0,0,0,Dawson,Avram Grant
43,Sat  ,"Apr 2, 2011",Prem,Wigan Athletic,(a),0-0,0,0,D,,Andre Marriner,"18,578",DW Stadium,5,20,0,0,0,0,Dawson,Roberto Martinez
44,Tue,"Apr 5, 2011",CLQF.1,Real Madrid,(a),0-1,0,4,L,"(Adebayor 4, 57, Di Maria 72, Ronaldo 87)",Felix Brych,"80,000",Estadio Santiago Bernabéu,n/a,n/a,0,1,0,0,Dawson,Jose Mourinho
45,Sat  ,"Apr 9, 2011",Prem,Stoke City,(h),3-2,3,2,W,"Crouch 11, 34, Modric 18 (Etherington 27, Jones 41)",Kevin Friend,"35,702",White Hart Lane,5,12,0,0,0,0,Dawson,Tony Pulis
46,Wed,"Apr 13, 2011",CLQF.2,Real Madrid,(h),0-0,0,1,L,(Ronaldo 50),Nicola Rizzoli,"34,326",White Hart Lane,n/a,n/a,0,0,0,0,Dawson,Jose Mourinho
47,Wed  ,"Apr 20, 2011",Prem,Arsenal ,(h),2-3,3,3,D,"Van der Vaart 7, 70p, Huddlestone 44 (Walcott 5, Nasri 12, Van Persie 40)",Martin Atkinson,"36,138",White Hart Lane,5,3,0,0,0,0,Dawson,Arsene Wenger
48,Sat  ,"Apr 23, 2011",Prem,West Bromwich Albion,(h),1-1,2,2,D,"Pavlyuchenko 27, Defoe 66 (Odemwingie 5, Cox 81)",Stuart Attwell,"36,160",White Hart Lane,5,12,0,0,0,0,Dawson,Roy Hodgson
49,Sat  ,"Apr 30, 2011",Prem,Chelsea  ,(a),1-1,1,2,L,"Sandro 19 (Lampard 45, Kalou 89)",Andre Marriner,"41,681",Stamford Bridge,5,2,0,0,0,0,Dawson,Carlo Ancelotti
50,Sat ,"May 7, 2011",Prem,Blackpool,(h),0-0,1,1,D,Defoe 89 (Adam 76p),Lee Probert,"35,585",White Hart Lane,6,18,0,0,1/s,0,Dawson,Ian Holloway
51,Tue,"May 10, 2011",Prem,Manchester City ,(a),0-1,0,1,L,Crouch 30 og,Mike Dean,"47,029",City of Manchester Stadium,6,4,0,0,0,0,Dawson,Roberto Mancini
52,Sun ,"May 15, 2011",Prem,Liverpool,(a),1-0,2,0,W,"Van der Vaart 9, Modric 56p",Howard Webb,"44,893",Anfield,5,6,1,0,0,0,Dawson,Kenny Dalglish
53,Sun  ,"May 22, 2011",Prem,Birmingham City ,(h),0-0,2,1,W,"Pavlyuchenko 49, 90(+3), Gardner 79",Mark Clattenburg,"36,119",White Hart Lane,5,18,0,0,0,0,Dawson,Alex McLeish
