,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
5,Thu,"Sep 14, 2006",UEFA 1.1,Slavia Prague,(a),1-0,1,0,W,Jenas 37,H Piccirillo,"14,869",Stadion Evzena Rosickeho,n/a,,0,,,0,King  ,Karel Jarolim
6,Sun,"Sep 17, 2006",Prem,Fulham,(h),0-0,0,0,D,,Mark Clattenburg,"36,131",White Hart Lane,16,,0,,,0,King,Chris Coleman
7,Sat,"Sep 23, 2006",Prem,Liverpool,(a),0-0,0,3,L,"(Gonzalez 63, Kuyt 73, Riise 89)",Howard Webb,"44,330",Anfield,17,,0,,,0,King,Rafael Benitez
8,Thu,"Sep 28, 2006",UEFA 1.2,Slavia Prague,(h),0-0,1,0,W,Keane 80,T Skjerven,"35,191",White Hart Lane,n/a,,0,,,0,Keane,Karel Jarolim
9,Sun,"Oct 1, 2006",Prem,Portsmouth,(h),2-1,2,1,W,"Murphy 1, Defoe 35p (Kanu 40)",Chris Foy,"36,063",White Hart Lane,14,,1,,,0,King,Harry Redknapp
10,Sat,"Oct 14, 2006",Prem,Aston Villa,(a),0-0,1,1,D,Angel 75 og (Barry 81),Martin Atkinson,"42,551",Villa Park,14,,,1,,0,Robinson,Martin O'Neill
11,Thu,"Oct 19, 2006",UEFA Gp,Besiktas,(a),1-0,2,0,W,"Ghaly 31, Berbatov 63",P Rasmussen,"26,800",Inonu Stadium,n/a,,0,,,0,King,Jean Tigana
12,Sun,"Oct 22, 2006",Prem,West Ham United,(h),1-0,1,0,W,Mido 45,Steve Bennett,"36,162",White Hart Lane,13,,0,,,0,King,Alan Pardew
13,Wed,"Oct 25, 2006",LC3,Milton Keynes Dons,(a),2-0,5,0,W,"Mido 35, 59, Defoe 43, 51, Keane 89",K Stroud,"8,306",National Hockey Stadium,n/a,,0,,,0,Davids,Martin Allen
14,Sat,"Oct 28, 2006",Prem,Watford,(a),0-0,0,0,D,,Uriah Rennie,"19,660",Vicarage Road,12,,0,,,0,King,Adrian Boothroyd
15,Thu,"Nov 2, 2006",UEFA Gp,Club Brugge,(h),1-1,3,1,W,"Berbatov 17, 73, Keane 63 (Salou Ibrahim 14)",A Mallenco,"35,716",White Hart Lane,n/a,,,,,,King,Emilio Ferrera
16,Sun,"Nov 5, 2008",Prem,Chelsea,(h),1-1,2,1,W,"Dawson 25, Lennon 52 (Makelele 15)",Graham Poll,"36,070",White Hart Lane,10,,,,,1,King,Jose Mourinho
17,Wed,"Nov 8, 2006",LC4,Port Vale a.e.t.,(h),0-0,3,1,W,"Huddlestone 80, 99 Defoe 107 (Constantine 64)",Steve Bennett,"34,560",White Hart Lane,n/a,,,,,,Davids,Martin Foyle
18,Sun,"Nov 12, 2006",Prem,Reading,(a),1-2,1,3,L,"Keane 24p (Shorey 38, Sidwell 45, Doyle79)",Rob Styles,"24,110",Madejski Stadium,12,,,,,,King,Steve Coppell
19,Sun,"Nov 19, 2006",Prem,Blackburn Rovers,(a),0-1,1,1,D,Defoe 62p (Tugay 23),Phil Dowd,"18,083",Ewood Park,12,,,1,,1,King,Mark Hughes
20,Thu,"Nov 23, 2006",UEFA Gp,Bayer 04 Leverkusen,(a),1-0,1,0,W,Berbatov 36,M Hansson,"22,500",Bay Arena,n/a,,,,,,King,Michael Skibbe
21,Sun,"Nov 26, 2006",Prem,Wigan Athletic ,(h),2-1,3,1,W,"Defoe 43, Berbatov 44, Lennon 90 (Camara 25)",Mark Clattenburg,"35,205",White Hart Lane,10,,,,,,King,Paul Jewell
22,Sat,"Dec 2, 2006",Prem,Arsenal ,(a),0-2,0,3,L,"(Adebayor 20, Gilberto 42p, 72p)",Graham Poll,"60,115",Emirates Stadium,12,,,,,,King,Arsene Wenger
23,Tue,"Dec 5, 2006",Prem,Middlesbrough,(h),0-0,2,1,W,"Berbatov 48, Keane 84 (Huth 80)",Mark Halsey,"34,154",White Hart Lane,10,,,1,,1,King,Gareth Southgate
24,Sat,"Dec 9, 2006",Prem,Charlton Athletic,(h),2-1,5,1,W,"Berbatov 31, 66, Tainio 33, Malbranque 55, Defoe 63 (Dawson 43 og)",Mike Dean,"35,565",White Hart Lane,9,,,,,,King,Les Reed
25,Thu,"Dec 14, 2006",UEFA Gp,Dinamo Bucuresti,(h),2-0,3,1,W,"Berbatov 16, Defoe 39, 50 (Mendy 90)",B Brugger,"34,004",White Hart Lane,n/a,,,,,,King (Robinson),Mircea Rednic
26,Sun,"Dec 17, 2006",Prem,Manchester City ,(a),2-0,2,1,W,"Davenport 16, Huddlestone 24 (Barton 64)",Rob Styles,"39,825",City of Manchester Stadium,7,,,,,,King,Stuart Pearce
27,Wed,"Dec 20, 2006",LC5,Southend United a.e.t.,(h),0-0,1,0,W,Defoe 115,Phil Dowd,"35,811",White Hart Lane,n/a,,,,,,Robinson,Steve Tilson
28,Sat,"Dec 23, 2006",Prem,Newcastle United,(a),1-3,1,3,L,"Murphy 15 (Dyer 3, Martins 7, Parker 34)",Alan Wiley,"52,079",St James'Park,7,,,,,,King,Glenn Roeder
29,Tue,"Dec 26, 2006",Prem,Aston Villa,(h),0-0,2,1,W,"Defoe 58, 77 (Barry 81)",Uriah Rennie,"35,293",White Hart Lane,7,,,,,,King,Martin O'Neill
30,Sat,"Dec 30, 2006",Prem,Liverpool,(h),0-1,0,1,L,(Garcia 45),Mark Halsey,"36,170",White Hart Lane,8,,,,,,Robinson,Rafael Benitez
31,Mon,"Jan 1, 2007",Prem,Portsmouth,(a),0-1,1,1,D,Malbranque 50 (Mwaruwari 29),Andre Marriner,"20,194",Fratton Park,7,,,,,,Robinson,Harry Redknapp
32,Sun,"Jan 7, 2007",FAC3,Cardiff City,(a),0-0,0,0,D,,Howard Webb,"20,376",Ninian Park,n/a,,,,,,Robinson,Dave Jones
33,Sun,"Jan 14, 2007",Prem,Newcastle United,(h),1-1,2,3,L,"Defoe 14, Berbatov 54 (Huntingdon 16, Martins 72, Butt 73)",Steve Bennett,"35,942",White Hart Lane,8,,,,,,Robinson,Glenn Roeder
34,Wed,"Jan 17, 2007",FAC3R,Cardiff City,(h),3-0,4,0,W,"Lennon 27, Keane 30, Malbranque 41, Defoe 81",Mike Riley,"27,641",White Hart Lane,n/a,,,,,,Keane,Dave Jones
35,Sat,"Jan 20, 2007",Prem,Fulham,(a),0-0,1,1,D,Chimbonda 88 (Montella 84p),Mike Dean,"23,580",Craven Cottage,9,,,,,1,Robinson,Chris Coleman
