Dataset name: Exchange Rates; Frequency: Daily; Currency: Norwegian krone; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[Norwegian krone ]
2005-10-14,7.8335
2005-10-13,7.8145
2005-10-12,7.8020
2005-10-11,7.8450
2005-10-10,7.8715
2005-10-07,7.8880
2005-10-06,7.8735
2005-10-05,7.8910
2005-10-04,7.8815
2005-10-03,7.8855
2005-09-30,7.8770
2005-09-29,7.8160
2005-09-28,7.8265
2005-09-27,7.8205
2005-09-26,7.8215
2005-09-23,7.7910
2005-09-22,7.7790
2005-09-21,7.7925
2005-09-20,7.7770
2005-09-19,7.7940
2005-09-16,7.7945
2005-09-15,7.7915
2005-09-14,7.8140
2005-09-13,7.8210
2005-09-12,7.8015
2005-09-09,7.7980
2005-09-08,7.7895
2005-09-07,7.8065
2005-09-06,7.8270
2005-09-05,7.8250
2005-09-02,7.7825
2005-09-01,7.8445
2005-08-31,7.8660
2005-08-30,7.9355
2005-08-29,7.8970
2005-08-26,7.9260
2005-08-25,7.9255
2005-08-24,7.9640
2005-08-23,8.0085
2005-08-22,7.9835
2005-08-19,7.9805
2005-08-18,7.9440
2005-08-17,7.9215
2005-08-16,7.9515
2005-08-15,7.9510
2005-08-12,7.8885
2005-08-11,7.8975
2005-08-10,7.8965
2005-08-09,7.8905
2005-08-08,7.9300
2005-08-05,7.8955
2005-08-04,7.8790
2005-08-03,7.8425
2005-08-02,7.8465
2005-08-01,7.8575
2005-07-29,7.8870
2005-07-28,7.8985
2005-07-27,7.9035
2005-07-26,7.8900
2005-07-25,7.9155
2005-07-22,7.9740
2005-07-21,7.9520
2005-07-20,7.9610
2005-07-19,8.0160
2005-07-18,7.9515
2005-07-15,7.9695
2005-07-14,7.9220
2005-07-13,7.8895
2005-07-12,7.8965
2005-07-11,7.9120
2005-07-08,7.8755
2005-07-07,7.9160
2005-07-06,7.9140
2005-07-05,7.9140
2005-07-04,7.8815
2005-07-01,7.8810
2005-06-30,7.9155
2005-06-29,7.8970
2005-06-28,7.9465
2005-06-27,7.9390
2005-06-24,7.9725
2005-06-23,7.9300
2005-06-22,7.8760
2005-06-21,7.8740
2005-06-20,7.8770
2005-06-17,7.8630
2005-06-16,7.8615
2005-06-15,7.8710
2005-06-14,7.8765
2005-06-13,7.8485
2005-06-10,7.8375
2005-06-09,7.9135
2005-06-08,7.9000
2005-06-07,7.8570
2005-06-06,7.8725
2005-06-03,7.8980
2005-06-02,7.9060
2005-06-01,7.9170
2005-05-31,7.9390
2005-05-30,7.9585
2005-05-27,7.9710
2005-05-26,8.0090
2005-05-25,8.0560
2005-05-24,8.0885
2005-05-23,8.1130
2005-05-20,8.1345
2005-05-19,8.1135
2005-05-18,8.0940
2005-05-17,8.0956
2005-05-16,8.1136
2005-05-13,8.0960
2005-05-12,8.0920
2005-05-11,8.0830
2005-05-10,8.0910
2005-05-09,8.1265
2005-05-06,8.1115
2005-05-05,8.1119
2005-05-04,8.1115
