Dataset name: Exchange Rates; Frequency: Daily; Currency: Norwegian krone; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[Norwegian krone ]
2008-04-14,7.9445
2008-04-11,7.9415
2008-04-10,7.9270
2008-04-09,7.9410
2008-04-08,7.9565
2008-04-07,7.9685
2008-04-04,7.9980
2008-04-03,8.0030
2008-04-02,8.0650
2008-04-01,8.0720
2008-03-31,8.0510
2008-03-28,8.0475
2008-03-27,8.0170
2008-03-26,8.0475
2008-03-25,8.0865
2008-03-20,8.1178
2008-03-19,8.0448
2008-03-18,8.0675
2008-03-17,8.0570
2008-03-14,7.9885
2008-03-13,7.9005
2008-03-12,7.8905
2008-03-11,7.8780
2008-03-10,7.8855
2008-03-07,7.9145
2008-03-06,7.8340
2008-03-05,7.8565
2008-03-04,7.8535
2008-03-03,7.9250
2008-02-29,7.9140
2008-02-28,7.8665
2008-02-27,7.8540
2008-02-26,7.8845
2008-02-25,7.8810
2008-02-22,7.8895
2008-02-21,7.8615
2008-02-20,7.8770
2008-02-19,7.8605
2008-02-18,7.9150
2008-02-15,7.9255
2008-02-14,7.9510
2008-02-13,7.9830
2008-02-12,8.0030
2008-02-11,8.0265
2008-02-08,8.0245
2008-02-07,8.0700
2008-02-06,8.0555
2008-02-05,8.0095
2008-02-04,8.0290
2008-02-01,8.0265
2008-01-31,8.0760
2008-01-30,8.0450
2008-01-29,8.0350
2008-01-28,8.0655
2008-01-25,8.0240
2008-01-24,8.0360
2008-01-23,8.0630
2008-01-22,8.0440
2008-01-21,8.0265
2008-01-18,7.9915
2008-01-17,7.9540
2008-01-16,7.9420
2008-01-15,7.8330
2008-01-14,7.8275
2008-01-11,7.8185
2008-01-10,7.8390
2008-01-09,7.8910
2008-01-08,7.8895
2008-01-07,7.8685
2008-01-04,7.8650
2008-01-03,7.9250
2008-01-02,7.9855
2007-12-31,7.9580
2007-12-28,7.9740
2007-12-27,7.9955
2007-12-24,7.9918
2007-12-21,8.0340
2007-12-20,8.0300
2007-12-19,8.0385
2007-12-18,8.0260
2007-12-17,7.9780
2007-12-14,7.9750
2007-12-13,7.9320
2007-12-12,7.9565
2007-12-11,7.9975
2007-12-10,7.9920
2007-12-07,8.0170
2007-12-06,8.0460
2007-12-05,8.0700
2007-12-04,8.1090
2007-12-03,8.1020
2007-11-30,8.1140
2007-11-29,8.0925
2007-11-28,8.1075
2007-11-27,8.0800
2007-11-26,8.0375
2007-11-23,8.0485
2007-11-22,8.0255
2007-11-21,8.0415
2007-11-20,7.9950
2007-11-19,8.0780
2007-11-16,8.0315
2007-11-15,7.9935
2007-11-14,7.9275
2007-11-13,7.9090
2007-11-12,7.8740
2007-11-09,7.8115
2007-11-08,7.7410
2007-11-07,7.7660
2007-11-06,7.7800
2007-11-05,7.8155
2007-11-02,7.8430
2007-11-01,7.8295
2007-10-31,7.7910
2007-10-30,7.7210
2007-10-29,7.7220
2007-10-26,7.7095
2007-10-25,7.7300
2007-10-24,7.7455
2007-10-23,7.6900
2007-10-22,7.7335
2007-10-19,7.6715
2007-10-18,7.6705
2007-10-17,7.6720
2007-10-16,7.6660
2007-10-15,7.6610
2007-10-12,7.6490
2007-10-11,7.6815
2007-10-10,7.6970
2007-10-09,7.7055
2007-10-08,7.6700
2007-10-05,7.6530
2007-10-04,7.6930
2007-10-03,7.6990
2007-10-02,7.6965
2007-10-01,7.6875
2007-09-28,7.7185
2007-09-27,7.7500
2007-09-26,7.7710
2007-09-25,7.8060
2007-09-24,7.7830
2007-09-21,7.7865
2007-09-20,7.7815
2007-09-19,7.7775
2007-09-18,7.8070
2007-09-17,7.8020
2007-09-14,7.8275
2007-09-13,7.8345
2007-09-12,7.8325
2007-09-11,7.8515
2007-09-10,7.8960
2007-09-07,7.9085
2007-09-06,7.9075
2007-09-05,7.9105
2007-09-04,7.9290
2007-09-03,7.9315
2007-08-31,7.9440
2007-08-30,7.9590
2007-08-29,7.9565
2007-08-28,7.9475
2007-08-27,7.9515
2007-08-24,7.9540
2007-08-23,7.9645
2007-08-22,7.9920
2007-08-21,7.9985
2007-08-20,7.9910
2007-08-17,8.0375
2007-08-16,8.0350
2007-08-15,7.9910
2007-08-14,7.9750
2007-08-13,7.9845
2007-08-10,7.9985
2007-08-09,7.9420
2007-08-08,7.9625
2007-08-07,7.9765
2007-08-06,7.9425
2007-08-03,7.9305
2007-08-02,7.9635
2007-08-01,7.9930
2007-07-31,7.9595
2007-07-30,8.0000
2007-07-27,8.0400
2007-07-26,7.9760
2007-07-25,7.9510
2007-07-24,7.9135
2007-07-23,7.9120
2007-07-20,7.9020
2007-07-19,7.9035
2007-07-18,7.9225
2007-07-17,7.8845
2007-07-16,7.9025
2007-07-13,7.9130
2007-07-12,7.9325
2007-07-11,7.9655
2007-07-10,7.9660
2007-07-09,7.9130
2007-07-06,7.9125
2007-07-05,7.9240
2007-07-04,7.9365
2007-07-03,7.9380
2007-07-02,7.9690
2007-06-29,7.9725
2007-06-28,7.9520
2007-06-27,7.9725
2007-06-26,8.0100
2007-06-25,8.0040
2007-06-22,7.9870
2007-06-21,8.0345
2007-06-20,8.0525
2007-06-19,8.0790
2007-06-18,8.0750
2007-06-15,8.0935
2007-06-14,8.1075
2007-06-13,8.1010
2007-06-12,8.1115
2007-06-11,8.1195
2007-06-08,8.1005
2007-06-07,8.0820
2007-06-06,8.0800
2007-06-05,8.0840
2007-06-04,8.1085
2007-06-01,8.1110
2007-05-31,8.1195
2007-05-30,8.1175
2007-05-29,8.0990
2007-05-28,8.0951
2007-05-25,8.0945
2007-05-24,8.1055
2007-05-23,8.1210
2007-05-22,8.1325
2007-05-21,8.1670
2007-05-18,8.1750
2007-05-17,8.1721
2007-05-16,8.1725
2007-05-15,8.1935
2007-05-14,8.1985
2007-05-11,8.1770
2007-05-10,8.1590
2007-05-09,8.1340
2007-05-08,8.1360
2007-05-07,8.1220
2007-05-04,8.1280
2007-05-03,8.1220
2007-05-02,8.1265
2007-04-30,8.1265
2007-04-27,8.1380
2007-04-26,8.1185
2007-04-25,8.1640
2007-04-24,8.1030
2007-04-23,8.1070
2007-04-20,8.1075
2007-04-19,8.1075
2007-04-18,8.1100
2007-04-17,8.0790
2007-04-16,8.0925
2007-04-13,8.0985
2007-04-12,8.0885
2007-04-11,8.0930
2007-04-10,8.1060
2007-04-05,8.1330
2007-04-04,8.1675
2007-04-03,8.1700
2007-04-02,8.1585
2007-03-30,8.1190
2007-03-29,8.1020
2007-03-28,8.1335
2007-03-27,8.1270
2007-03-26,8.1270
2007-03-23,8.1150
2007-03-22,8.1680
2007-03-21,8.1950
2007-03-20,8.1650
2007-03-19,8.1480
2007-03-16,8.1395
2007-03-15,8.0870
2007-03-14,8.1225
2007-03-13,8.0945
2007-03-12,8.1220
2007-03-09,8.1120
2007-03-08,8.1530
2007-03-07,8.1475
2007-03-06,8.1615
2007-03-05,8.1830
2007-03-02,8.1160
2007-03-01,8.1090
2007-02-28,8.1200
2007-02-27,8.0590
2007-02-26,8.0630
2007-02-23,8.0660
2007-02-22,8.0635
2007-02-21,8.0625
2007-02-20,8.0415
2007-02-19,8.0440
2007-02-16,8.0445
2007-02-15,8.0825
2007-02-14,8.0890
2007-02-13,8.1110
2007-02-12,8.0955
2007-02-09,8.1310
2007-02-08,8.0955
2007-02-07,8.0895
2007-02-06,8.1120
2007-02-05,8.1200
2007-02-02,8.1355
2007-02-01,8.1255
2007-01-31,8.1480
2007-01-30,8.1680
2007-01-29,8.1750
2007-01-26,8.1935
2007-01-25,8.2120
2007-01-24,8.2635
2007-01-23,8.3500
2007-01-22,8.3675
2007-01-19,8.3680
2007-01-18,8.3640
2007-01-17,8.3480
2007-01-16,8.3140
2007-01-15,8.3290
2007-01-12,8.3435
2007-01-11,8.3525
2007-01-10,8.2985
2007-01-09,8.2555
2007-01-08,8.2640
2007-01-05,8.2830
2007-01-04,8.2730
2007-01-03,8.2385
2007-01-02,8.2080
2006-12-29,8.2380
2006-12-28,8.2375
2006-12-27,8.2280
2006-12-22,8.1770
2006-12-21,8.1330
2006-12-20,8.1610
2006-12-19,8.1640
2006-12-18,8.1410
2006-12-15,8.1600
2006-12-14,8.1500
2006-12-13,8.1520
2006-12-12,8.1320
2006-12-11,8.1220
2006-12-08,8.1180
2006-12-07,8.0945
2006-12-06,8.1350
2006-12-05,8.1300
2006-12-04,8.1565
2006-12-01,8.1625
2006-11-30,8.1660
2006-11-29,8.2520
2006-11-28,8.2810
2006-11-27,8.2690
2006-11-24,8.2625
2006-11-23,8.2600
2006-11-22,8.2520
2006-11-21,8.2660
2006-11-20,8.2620
2006-11-17,8.2680
2006-11-16,8.2225
2006-11-15,8.2460
2006-11-14,8.2120
2006-11-13,8.1970
2006-11-10,8.2005
2006-11-09,8.2315
2006-11-08,8.2430
2006-11-07,8.2510
2006-11-06,8.2510
2006-11-03,8.2445
2006-11-02,8.2430
2006-11-01,8.3005
2006-10-31,8.3320
2006-10-30,8.3335
2006-10-27,8.3110
2006-10-26,8.2875
2006-10-25,8.3380
2006-10-24,8.3855
2006-10-23,8.4260
2006-10-20,8.4135
2006-10-19,8.4760
2006-10-18,8.4710
2006-10-17,8.4710
2006-10-16,8.4610
2006-10-13,8.4285
2006-10-12,8.4530
2006-10-11,8.4180
2006-10-10,8.3610
2006-10-09,8.4200
2006-10-06,8.4315
2006-10-05,8.3780
2006-10-04,8.3995
2006-10-03,8.3735
2006-10-02,8.3425
2006-09-29,8.2350
2006-09-28,8.2230
2006-09-27,8.2650
2006-09-26,8.3135
2006-09-25,8.3895
2006-09-22,8.3455
2006-09-21,8.2810
2006-09-20,8.2790
2006-09-19,8.2735
2006-09-18,8.2830
2006-09-15,8.2775
2006-09-14,8.3320
2006-09-13,8.3825
2006-09-12,8.2950
2006-09-11,8.3080
2006-09-08,8.2185
2006-09-07,8.1875
2006-09-06,8.1465
2006-09-05,8.1320
2006-09-04,8.1260
2006-09-01,8.1070
2006-08-31,8.0795
2006-08-30,8.0655
2006-08-29,8.0425
2006-08-28,8.0345
2006-08-25,8.0655
2006-08-24,8.0755
2006-08-23,8.0430
2006-08-22,8.0275
2006-08-21,8.0480
2006-08-18,8.0720
2006-08-17,8.0780
2006-08-16,8.0160
2006-08-15,8.0290
2006-08-14,7.9980
2006-08-11,7.9565
2006-08-10,7.9500
2006-08-09,7.9450
2006-08-08,7.9095
2006-08-07,7.8785
2006-08-04,7.8835
2006-08-03,7.8705
2006-08-02,7.8745
2006-08-01,7.8745
2006-07-31,7.8615
2006-07-28,7.8825
2006-07-27,7.9065
2006-07-26,7.9340
2006-07-25,7.9400
2006-07-24,7.9540
2006-07-21,7.9330
2006-07-20,7.9320
2006-07-19,7.9690
2006-07-18,7.9295
2006-07-17,7.9050
2006-07-14,7.9155
2006-07-13,7.9280
2006-07-12,7.9475
2006-07-11,7.9905
2006-07-10,7.9860
2006-07-07,7.9530
2006-07-06,7.9390
2006-07-05,7.9545
2006-07-04,7.9700
2006-07-03,7.9800
2006-06-30,7.9360
2006-06-29,7.8825
2006-06-28,7.9035
2006-06-27,7.9435
2006-06-26,7.9285
2006-06-23,7.9180
2006-06-22,7.9710
2006-06-21,7.9140
2006-06-20,7.8980
2006-06-19,7.8555
2006-06-16,7.8605
2006-06-15,7.8475
2006-06-14,7.8370
2006-06-13,7.8080
2006-06-12,7.7880
2006-06-09,7.8165
2006-06-08,7.8310
2006-06-07,7.8045
2006-06-06,7.7655
2006-06-05,7.7603
2006-06-02,7.7765
2006-06-01,7.7835
2006-05-31,7.8155
2006-05-30,7.8250
2006-05-29,7.8195
2006-05-26,7.8230
2006-05-25,7.8160
2006-05-24,7.8255
2006-05-23,7.8230
2006-05-22,7.8060
2006-05-19,7.8050
2006-05-18,7.8390
2006-05-17,7.8210
2006-05-16,7.8360
2006-05-15,7.7885
2006-05-12,7.7645
2006-05-11,7.7610
2006-05-10,7.7670
2006-05-09,7.7995
2006-05-08,7.7865
2006-05-05,7.7670
2006-05-04,7.7480
2006-05-03,7.7615
2006-05-02,7.7750
2006-04-28,7.7570
2006-04-27,7.7960
2006-04-26,7.7970
2006-04-25,7.8475
2006-04-24,7.8310
2006-04-21,7.8430
2006-04-20,7.7900
2006-04-19,7.8105
2006-04-18,7.8540
2006-04-13,7.8562
2006-04-12,7.8263
2006-04-11,7.8225
2006-04-10,7.8575
2006-04-07,7.8760
2006-04-06,7.8920
2006-04-05,7.8865
2006-04-04,7.8840
2006-04-03,7.9165
2006-03-31,7.9675
2006-03-30,7.9770
2006-03-29,7.9450
2006-03-28,7.9385
2006-03-27,7.9670
2006-03-24,7.9690
2006-03-23,7.9670
2006-03-22,7.9435
2006-03-21,7.9530
2006-03-20,7.9535
2006-03-17,7.9765
2006-03-16,7.9995
2006-03-15,7.9680
2006-03-14,7.9600
2006-03-13,7.9755
2006-03-10,7.9735
2006-03-09,8.0235
2006-03-08,8.0075
2006-03-07,7.9875
2006-03-06,7.9790
2006-03-03,8.0120
2006-03-02,8.0095
2006-03-01,8.0290
2006-02-28,8.0240
2006-02-27,8.0265
2006-02-24,8.0465
2006-02-23,8.0460
2006-02-22,8.0575
2006-02-21,8.0545
2006-02-20,8.0555
2006-02-17,8.0600
2006-02-16,8.1070
2006-02-15,8.1375
2006-02-14,8.1360
2006-02-13,8.1020
2006-02-10,8.0755
2006-02-09,8.0155
2006-02-08,8.0165
2006-02-07,8.0465
2006-02-06,8.0470
2006-02-03,8.0225
2006-02-02,8.0505
2006-02-01,8.0585
2006-01-31,8.0920
2006-01-30,8.1275
2006-01-27,8.0880
2006-01-26,8.0690
2006-01-25,8.0310
2006-01-24,8.0460
2006-01-23,8.0495
2006-01-20,8.0845
2006-01-19,8.1290
2006-01-18,8.1240
2006-01-17,8.1065
2006-01-16,8.0490
2006-01-13,8.0475
2006-01-12,8.0780
2006-01-11,8.0310
2006-01-10,7.9810
2006-01-09,7.9350
2006-01-06,7.9295
2006-01-05,7.9325
2006-01-04,7.9335
2006-01-03,7.9615
2006-01-02,7.9805
2005-12-30,7.9850
2005-12-29,8.0165
2005-12-28,8.0290
2005-12-27,8.0180
2005-12-23,8.0290
2005-12-22,8.0325
2005-12-21,8.0495
2005-12-20,8.0330
2005-12-19,8.0110
2005-12-16,7.9685
2005-12-15,7.9595
2005-12-14,7.9510
2005-12-13,7.9520
2005-12-12,7.9775
2005-12-09,7.9270
2005-12-08,7.9250
2005-12-07,7.9260
2005-12-06,7.8750
2005-12-05,7.8940
2005-12-02,7.9170
2005-12-01,7.9720
2005-11-30,7.9715
2005-11-29,7.9490
2005-11-28,7.8700
2005-11-25,7.8770
2005-11-24,7.8730
2005-11-23,7.8630
2005-11-22,7.8505
2005-11-21,7.8935
2005-11-18,7.8820
2005-11-17,7.8545
2005-11-16,7.8135
2005-11-15,7.7930
2005-11-14,7.7790
2005-11-11,7.7450
2005-11-10,7.7370
2005-11-09,7.7485
2005-11-08,7.7940
2005-11-07,7.7820
2005-11-04,7.7975
2005-11-03,7.8075
2005-11-02,7.7850
2005-11-01,7.7825
2005-10-31,7.8060
2005-10-28,7.8090
2005-10-27,7.8110
2005-10-26,7.8220
2005-10-25,7.8340
2005-10-24,7.8265
2005-10-21,7.7925
2005-10-20,7.8000
2005-10-19,7.8035
2005-10-18,7.8210
2005-10-17,7.8175
